workerid,img_order,selection,type,id,order,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"[u'good', u'bad']",competitor,looks like,flower,1,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'good', u'bad']",competitor,looks like,cat,2,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'good', u'bad']",target,looks like,panda,3,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'bad', u'good']",competitor,looks like,horse,4,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'bad', u'good']",target,looks like,house,5,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'good', u'bad']",competitor,looks like,monkey,6,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,null,left,right,control_2,7,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'bad', u'good']",competitor,looks like,cake,8,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,"[u'bad', u'good']",competitor,looks like,hammer,9,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
0,null,right,right,control_4,10,English,1,Female,33,no,n/a,Yes,75c,3,Windows,900,1600,Chrome,35F6NGNVM8I5CLRCZP8TMG3W3P47T0,3WDXCWYEATPE3TZR4WQ6H2S7KNZYJ9,Take part in a linguistics experiment!,Answer one question about a sentence of English.,language research stanford fun cognitive science university explanations,$0.75,Mon Nov 19 13:20:55 CST 2018,8,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Wed Dec 19 13:20:55 CST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=35F6NGNVM8I5CLRCZP8TMG3W3P47T0,35LDD5557B3SHP66ZO1SSQ9EN7AKMM,0,Submitted,Tue Nov 20 06:05:59 CST 2018,Mon Nov 19 13:21:13 CST 2018,Mon Nov 19 13:25:59 CST 2018,,,,,,[],"""control""",1.6621
